sample_idx,param,ref_unscaled,pred_unscaled,abs_error_unscaled,sq_error_unscaled
0,cross_to_ground,133.517,133.582,0.0643625,0.00414253
0,claw_to_ground,96.703,96.7944,0.091446,0.00836236
0,cross_to_claw,5.98705,5.9679,0.0191526,0.000366822
0,cross_to_cross,133.517,133.555,0.037568,0.00141136
0,claw_to_claw,103.123,103.215,0.091952,0.00845517
0,ground_to_ground,287.806,286.044,1.76189,3.10426
1,cross_to_ground,148.829,148.711,0.118048,0.0139354
1,claw_to_ground,69.9119,69.6751,0.236717,0.0560351
1,cross_to_claw,2.2821,2.42604,0.143941,0.020719
1,cross_to_cross,148.829,148.668,0.160956,0.0259069
1,claw_to_claw,72.5296,72.5202,0.00947551,8.97853e-05
1,ground_to_ground,278.843,276.138,2.7048,7.31592
2,cross_to_ground,87.3543,87.8854,0.531018,0.28198
2,claw_to_ground,68.8291,68.9855,0.156377,0.0244538
2,cross_to_claw,3.77328,3.68829,0.0849875,0.00722287
2,cross_to_cross,87.3543,87.9053,0.550901,0.303491
2,claw_to_claw,73.0345,73.1665,0.132084,0.0174463
2,ground_to_ground,205.788,204.135,1.65254,2.7309
3,cross_to_ground,107.075,106.987,0.0884268,0.0078193
3,claw_to_ground,79.2463,79.0661,0.180183,0.032466
3,cross_to_claw,4.29602,4.31842,0.0224033,0.000501907
3,cross_to_cross,107.075,107.005,0.070101,0.00491415
3,claw_to_claw,84.0054,83.8276,0.177756,0.0315973
3,ground_to_ground,238.771,236.721,2.04924,4.19938
4,cross_to_ground,80.3756,80.6828,0.307182,0.0943609
4,claw_to_ground,65.1835,65.3176,0.134041,0.017967
4,cross_to_claw,3.06197,2.9636,0.0983655,0.00967578
4,cross_to_cross,80.3756,80.6764,0.300796,0.0904784
4,claw_to_claw,68.6593,68.7937,0.134388,0.0180602
4,ground_to_ground,193.513,191.832,1.68103,2.82586
5,cross_to_ground,130.73,132.178,1.44743,2.09505
5,claw_to_ground,69.0052,69.373,0.367818,0.13529
5,cross_to_claw,3.18581,3.16352,0.0222901,0.00049685
5,cross_to_cross,130.73,132.151,1.42127,2.02002
5,claw_to_claw,72.5355,72.9484,0.412971,0.170545
5,ground_to_ground,256.085,256.434,0.348143,0.121203
6,cross_to_ground,119.114,119.317,0.202785,0.041122
6,claw_to_ground,86.17,86.1725,0.00253298,6.41599e-06
6,cross_to_claw,3.6428,3.75084,0.10804,0.0116727
6,cross_to_cross,119.114,119.315,0.200245,0.040098
6,claw_to_claw,90.2875,90.4027,0.115208,0.0132729
6,ground_to_ground,259.843,258.391,1.45152,2.10691
7,cross_to_ground,176.386,176.231,0.155031,0.0240347
7,claw_to_ground,55.8669,56.827,0.960111,0.921813
7,cross_to_claw,2.25358,2.1681,0.085477,0.00730632
7,cross_to_cross,176.386,176.186,0.200396,0.0401585
7,claw_to_claw,58.3954,59.3556,0.96019,0.921965
7,ground_to_ground,296.769,295.174,1.59491,2.54373
8,cross_to_ground,178.103,178.451,0.348001,0.121105
8,claw_to_ground,125.682,125.468,0.21389,0.0457487
8,cross_to_claw,6.34363,6.63612,0.292494,0.0855525
8,cross_to_cross,178.103,178.409,0.305841,0.0935386
8,claw_to_claw,132.532,132.539,0.00630051,3.96965e-05
8,ground_to_ground,369.472,367.906,1.56626,2.45318
9,cross_to_ground,131.41,131.235,0.175306,0.0307321
9,claw_to_ground,79.5949,79.2803,0.314587,0.0989647
9,cross_to_claw,3.06183,3.2107,0.148873,0.0221632
9,cross_to_cross,131.41,131.243,0.166486,0.0277176
